,CHOOSE_DX,dxONAngle,dON1,cIDON1,dON_patch_1,nTON,dON,dxOFFAngle,dOFF1,cIDOFF1,dOFF_patch_1,nTOFF,dOFF,SUCCESS,nExp,dual_point_id,subpoint_time_seconds,total_execution_time,logp,dOFF/dON,Vote dOFF>dON
0,along_decision_boundary,82.32498224395228,0.03821074850484378,[7 8],0.03821074850484378,1,0.03821074850484378,83.6912004293573,0.1284313405463358,[7 8],0.1284313405463358,1,0.1284313405463358,True,1,1,2.0569562911987305,2.4343342781066895,0.0,3.361131241123298,True
1,along_decision_boundary,68.97742425706747,0.033195389156627036,[7 9],0.033195389156627036,1,0.033195389156627036,78.17249242054507,0.011169178439701475,[7 9],0.011169178439701475,1,0.011169178439701475,False,2,8,1.7785661220550537,6.815758466720581,-0.5,0.33646776626119745,False
2,along_decision_boundary,71.0229061571249,0.06870043911341478,[7 9],0.06870043911341478,1,0.06870043911341478,78.80617393359628,0.030969916271065177,[7 9],0.030969916271065177,1,0.030969916271065177,False,3,9,2.9515023231506348,9.77346396446228,-0.0,0.4507964821001827,False
3,along_decision_boundary,70.90347609518432,0.023185863019090158,[4 9],0.023185863019090158,1,0.023185863019090158,74.42872112633293,0.045190014028960196,[4 9],0.045190014028960196,1,0.045190014028960196,True,4,10,1.7062146663665771,11.487691640853882,-0.16666666666666669,1.949033080707535,True
4,along_decision_boundary,79.84664459520536,0.09750362203586002,[4 8],0.09750362203586002,1,0.09750362203586002,81.85695211664506,0.10882065350996502,[4 8],0.10882065350996502,1,0.10882065350996502,True,5,11,2.8213119506835938,14.314018487930298,-0.0,1.1160678058702558,True
5,along_decision_boundary,86.27133877243189,0.5063277384673737,[5 8],0.5063277384673737,1,0.5063277384673737,81.34314851774118,0.006747323134438903,[5 8],0.006747323134438903,1,0.006747323134438903,False,6,14,1.9151442050933838,24.094404935836792,-0.09999999999999995,0.013325999390953141,False
6,along_decision_boundary,82.87912665191206,0.2592015315783785,[7 9],0.2592015315783785,1,0.2592015315783785,79.17144154916107,0.5800550641521598,[7 9],0.5800550641521598,1,0.5800550641521598,True,7,15,5.135156869888306,29.237624406814575,-0.0,2.237853536666932,True
7,along_decision_boundary,67.5337511517445,0.025854974723684553,[3 4],0.025854974723684553,1,0.025854974723684553,63.46030476644525,0.05895117668266555,[3 4],0.05895117668266555,1,0.05895117668266555,True,8,17,1.8971364498138428,31.17372155189514,-0.07142857142857147,2.2800709462176765,True
8,along_decision_boundary,88.44339027492231,0.11365610153705044,[0 9],0.11365610153705044,1,0.11365610153705044,67.58679360273885,0.04756533249173007,[1 9],0.04756533249173007,1,0.04756533249173007,False,9,22,1.333106279373169,40.35744333267212,-0.25,0.4185022347984052,False
9,along_decision_boundary,76.92248314550243,0.10737752345893943,[3 4],0.10737752345893943,1,0.10737752345893943,89.27781253004257,0.047819377618617744,[3 4],0.047819377618617744,1,0.047819377618617744,False,10,23,1.9387192726135254,42.30615735054016,-0.05555555555555561,0.4453388016245654,False
10,along_decision_boundary,81.88671009629816,0.08069824307321066,[3 5],0.08069824307321066,1,0.08069824307321066,85.39663944193754,0.030341779791054048,[3 5],0.030341779791054048,1,0.030341779791054048,False,11,25,1.3938956260681152,45.46916055679321,-0.0,0.3759905871002362,False
11,along_decision_boundary,82.42399958206424,0.0899108200269866,[7 9],0.0899108200269866,1,0.0899108200269866,87.9450546374679,0.18997299272123314,[7 9],0.18997299272123314,1,0.18997299272123314,True,12,28,1.8543474674224854,50.509652853012085,-0.045454545454545484,2.112904683376406,True
12,along_decision_boundary,83.34697260809908,0.2974903608745796,[0 1],0.2974903608745796,1,0.2974903608745796,71.27412005050755,0.05721747639827581,[0 1],0.05721747639827581,1,0.05721747639827581,False,13,30,3.649376392364502,56.28006315231323,-0.0,0.19233388345781868,False
13,along_decision_boundary,66.91883265008276,0.1183213426644677,[4 8],0.1183213426644677,1,0.1183213426644677,68.0489760686135,0.5128865129321248,[4 8],0.5128865129321248,1,0.5128865129321248,True,14,31,4.066883325576782,60.35395956039429,-0.03846153846153841,4.334691454495694,True
14,along_decision_boundary,73.43056003314796,0.04171596176934054,[2 9],0.04171596176934054,1,0.04171596176934054,71.01922544161407,0.13215908256586606,[2 9],0.13215908256586606,1,0.13215908256586606,True,15,32,3.5504884719848633,63.91401672363281,-0.0,3.1680698936443408,True
15,along_decision_boundary,62.92862103509975,0.16159832728270848,[3 7],0.16159832728270848,1,0.16159832728270848,60.50540690757274,0.13349084202918138,[3 7],0.13349084202918138,1,0.13349084202918138,False,16,33,3.0232396125793457,66.94357466697693,-0.03333333333333332,0.8260657413591019,False
16,along_decision_boundary,83.10731142864198,1.6923564595775257e-05,[0 9],1.6923564595775257e-05,1,1.6923564595775257e-05,89.46083489590114,0.33515352769344753,[1 9],0.33515352769344753,1,0.33515352769344753,True,17,34,2.768890857696533,69.7204658985138,-0.0,19803.95594537537,True
17,along_decision_boundary,70.36410801995089,0.025082515657439092,[7 9],0.025082515657439092,1,0.025082515657439092,68.17686024100576,0.3514975999367498,[7 9],0.3514975999367498,1,0.3514975999367498,True,18,36,2.1710145473480225,75.38406419754028,-0.029411764705882366,14.013650175176943,True
18,along_decision_boundary,72.46811885199088,0.25398591375965857,[4 9],0.25398591375965857,1,0.25398591375965857,70.06669449456426,0.5045358061405008,[4 9],0.5045358061405008,1,0.5045358061405008,True,19,40,6.531674861907959,95.21099638938904,-0.11111111111111122,1.98647160652355,True
