,CHOOSE_DX,dxONAngle,dON1,cIDON1,dON_patch_1,nTON,dON,dxOFFAngle,dOFF1,cIDOFF1,dOFF_patch_1,nTOFF,dOFF,SUCCESS,nExp,dual_point_id,subpoint_time_seconds,total_execution_time,logp,dOFF/dON,Vote dOFF>dON
0,along_decision_boundary,88.65831691616178,0.07971785505623565,[2 7],0.07971785505623565,1,0.07971785505623565,86.93940150025142,0.09580470607590247,[2 7],0.09580470607590247,1,0.09580470607590247,True,1,1,0.8077864646911621,1.733017921447754,0.0,1.2017973389815697,True
1,along_decision_boundary,88.63094081666449,0.06137192903731583,[2 7],0.06137192903731583,1,0.06137192903731583,89.1390662277718,0.0909827483250715,[2 7],0.0909827483250715,1,0.0909827483250715,True,2,2,0.8298649787902832,2.6666407585144043,-0.5,1.4824814822058383,True
2,along_decision_boundary,88.88089576627226,0.06786812835015764,[3 6],0.06786812835015764,1,0.06786812835015764,85.44086211608395,0.20263848878074833,[3 6],0.20263848878074833,1,0.20263848878074833,True,3,3,0.8137495517730713,3.56894588470459,-1.0,2.9857680432154963,True
3,along_decision_boundary,75.61410805964104,0.07901415578428586,[3 4],0.07901415578428586,1,0.07901415578428586,89.9236044270524,0.27204025812121224,[3 4],0.27204025812121224,1,0.27204025812121224,True,4,4,0.6679160594940186,4.3744752407073975,-1.5,3.4429306422497388,True
4,along_decision_boundary,83.16697955870622,0.04707433961690029,[0 1],0.04707433961690029,1,0.04707433961690029,86.80470754692716,0.12994492504081484,[0 1],0.12994492504081484,1,0.12994492504081484,True,5,5,0.9698765277862549,5.493730783462524,-2.0,2.760419500269802,True
5,along_decision_boundary,73.29145364326688,0.2811384606502401,[1 8],0.2811384606502401,1,0.2811384606502401,81.97454498480099,0.029994245713431077,[0 8],0.029994245713431077,1,0.029994245713431077,False,6,6,0.7746727466583252,6.453420162200928,-2.5,0.10668851797814473,False
6,along_decision_boundary,71.80122308242159,0.04914685239032316,[5 7],0.04914685239032316,1,0.04914685239032316,85.86531467791521,0.05135515228777756,[5 7],0.05135515228777756,1,0.05135515228777756,True,7,7,0.692145586013794,7.189555406570435,-1.3333333333333335,1.0449326821566545,True
7,along_decision_boundary,84.12208186423393,0.008100733544610775,[4 6],0.008100733544610775,1,0.008100733544610775,84.42616465066448,0.2529708335038132,[4 6],0.2529708335038132,1,0.2529708335038132,True,8,8,0.7855739593505859,8.090749025344849,-1.7857142857142858,31.22813904576687,True
8,along_decision_boundary,84.82807142611526,0.04081632720102113,[7 9],0.04081632720102113,1,0.04081632720102113,85.49126730529956,0.04241423012161845,[7 9],0.04241423012161845,1,0.04241423012161845,True,9,9,1.0640990734100342,9.267424821853638,-2.25,1.0391486209116174,True
9,along_decision_boundary,81.09185102215152,0.010345853961514537,[5 6],0.010345853961514537,1,0.010345853961514537,86.2026407960263,0.16892966903459733,[5 6],0.16892966903459733,1,0.16892966903459733,True,10,10,0.721764087677002,10.088728427886963,-2.7222222222222223,16.328247978658652,True
10,along_decision_boundary,85.16952169329163,0.002324564628933175,[8 9],0.002324564628933175,1,0.002324564628933175,88.70655649521582,0.545715520650171,[8 9],0.545715520650171,1,0.545715520650171,True,11,11,1.6652483940124512,11.82952880859375,-3.2000000000000006,234.76031333257413,True
11,along_decision_boundary,61.526660344205084,0.019690896696915424,[0 1],0.019690896696915424,1,0.019690896696915424,76.15366196419588,0.026955816767711152,[0 1],0.026955816767711152,1,0.026955816767711152,True,12,12,0.6822574138641357,12.613358497619629,-3.681818181818181,1.3689481582590282,True
12,along_decision_boundary,74.31126355092137,0.1499733446258487,[3 9],0.1499733446258487,1,0.1499733446258487,83.51551803490716,0.3407922113870977,[3 9],0.3407922113870977,1,0.3407922113870977,True,13,13,0.9271667003631592,13.619790077209473,-4.166666666666667,2.2723518785108188,True
13,along_decision_boundary,65.91906830862199,0.008042028072511438,[0 1],0.008042028072511438,1,0.008042028072511438,85.61249218841824,0.2098999973147705,[0 1],0.2098999973147705,1,0.2098999973147705,True,14,14,1.1156976222991943,14.802016019821167,-4.653846153846154,26.100381075792615,True
14,along_decision_boundary,86.75260916222594,0.010231193593774843,[5 7],0.010231193593774843,1,0.010231193593774843,87.95517199314641,0.025910845561816068,[5 7],0.025910845561816068,1,0.025910845561816068,True,15,15,0.8476073741912842,15.868729829788208,-5.142857142857144,2.532533992669388,True
15,along_decision_boundary,86.13735813801753,0.0027587070635862318,[0 1],0.0027587070635862318,1,0.0027587070635862318,86.20743190628305,0.15122257610487214,[0 1],0.15122257610487214,1,0.15122257610487214,True,16,16,1.1619081497192383,17.103790760040283,-5.633333333333334,54.81646750426904,True
16,along_decision_boundary,86.06673760256511,1.1474064290672428e-05,[4 7],1.1474064290672428e-05,1,1.1474064290672428e-05,89.25358687147691,0.06656903328724369,[4 7],0.06656903328724369,1,0.06656903328724369,True,17,17,0.7320554256439209,17.890564680099487,-6.125,5801.696033842117,True
17,along_decision_boundary,61.85491653579197,0.007493264406079307,[0 1],0.007493264406079307,1,0.007493264406079307,77.35822150953045,0.004730702652929728,[0 1],0.004730702652929728,1,0.004730702652929728,False,18,18,0.8008246421813965,18.741976022720337,-6.617647058823529,0.6313273356658409,False
18,along_decision_boundary,86.29148156995923,0.052059679786990214,[2 6],0.052059679786990214,1,0.052059679786990214,87.58664237173868,0.013537828281662513,[2 6],0.013537828281662513,1,0.013537828281662513,False,19,19,0.9268913269042969,19.91176152229309,-5.444444444444445,0.2600444016762015,False
