,CHOOSE_DX,dxONAngle,dON1,cIDON1,dON_patch_1,nTON,dON,dxOFFAngle,dOFF1,cIDOFF1,dOFF_patch_1,nTOFF,dOFF,SUCCESS,nExp,dual_point_id,subpoint_time_seconds,total_execution_time,logp,dOFF/dON,Vote dOFF>dON
0,along_decision_boundary,73.98816891992203,0.032329738815414,[3 5],0.032329738815414,1,0.032329738815414,77.68251106842015,0.28469597645505934,[3 5],0.28469597645505934,1,0.28469597645505934,True,1,2,1.6674914360046387,3.176776885986328,0.0,8.806009169468561,True
1,along_decision_boundary,79.84678185552073,0.07943735957353869,[0 1],0.07943735957353869,1,0.07943735957353869,75.46294730518821,0.007705354997338683,[0 1],0.007705354997338683,1,0.007705354997338683,False,2,4,1.1689479351043701,6.092767953872681,-0.5,0.09699913288539624,False
2,along_decision_boundary,68.7476713109768,0.09316132830710605,[5 7],0.09316132830710605,1,0.09316132830710605,70.67429794286724,0.02325169381221974,[5 7],0.02325169381221974,1,0.02325169381221974,False,3,5,0.9362077713012695,7.036985158920288,-0.0,0.24958525425454,False
3,along_decision_boundary,77.09564964893345,0.022214644430159733,[2 5],0.022214644430159733,1,0.022214644430159733,77.74967757749378,0.1561408377810028,[2 5],0.1561408377810028,1,0.1561408377810028,True,4,6,1.6258258819580078,8.669776916503906,-0.16666666666666669,7.028734503128848,True
4,along_decision_boundary,84.40289429409914,0.028931071339898123,[8 9],0.028931071339898123,1,0.028931071339898123,88.27130940192733,0.024106901312459836,[8 9],0.024106901312459836,1,0.024106901312459836,False,5,7,0.7520227432250977,9.427762269973755,-0.0,0.8332529766782126,False
5,along_decision_boundary,60.463335559491796,0.07435120290883858,[0 1],0.07435120290883858,1,0.07435120290883858,64.09032498443592,0.10923457911345605,[0 1],0.10923457911345605,1,0.10923457911345605,True,6,9,1.3092894554138184,12.585022211074829,-0.09999999999999995,1.4691703004104413,True
6,along_decision_boundary,84.44918983959892,0.007784130132773466,[3 4],0.007784130132773466,1,0.007784130132773466,83.73686601710126,0.37722421677607454,[3 4],0.37722421677607454,1,0.37722421677607454,True,7,10,1.2582569122314453,13.851475715637207,-0.0,48.4606770880988,True
7,along_decision_boundary,86.12411948995637,0.10044449133431783,[2 4],0.10044449133431783,1,0.10044449133431783,79.55998896907424,0.4498925208781357,[2 4],0.4498925208781357,1,0.4498925208781357,True,8,11,1.7369530200958252,15.59694790840149,-0.07142857142857147,4.479016369157773,True
8,along_decision_boundary,87.30913372321966,0.01566812581192076,[7 9],0.01566812581192076,1,0.01566812581192076,82.21609208382228,0.22129189989413797,[7 9],0.22129189989413797,1,0.22129189989413797,True,9,12,1.030031681060791,16.636980295181274,-0.25,14.123699448837252,True
9,along_decision_boundary,83.5849496633163,0.07125444490151786,[3 6],0.07125444490151786,1,0.07125444490151786,86.65607523723914,0.11763165183701488,[3 6],0.11763165183701488,1,0.11763165183701488,True,10,13,1.5082778930664062,18.150240182876587,-0.5000000000000001,1.6508675634144065,True
10,along_decision_boundary,85.09863989453531,0.1287352996652201,[3 5],0.1287352996652201,1,0.1287352996652201,55.73207403894841,0.015341481082787404,[3 5],0.015341481082787404,1,0.015341481082787404,False,11,14,1.5686492919921875,19.724844217300415,-0.8000000000000002,0.1191707412239174,False
11,along_decision_boundary,79.12069368356575,0.04697044294475584,[2 8],0.04697044294475584,1,0.04697044294475584,80.85503241548145,0.1405771099912704,[2 8],0.1405771099912704,1,0.1405771099912704,True,12,16,1.3702428340911865,22.954033136367798,-0.409090909090909,2.992884486029008,True
12,along_decision_boundary,81.99150845530637,0.04963642874374154,[4 7],0.04963642874374154,1,0.04963642874374154,84.9950110129687,0.008324432865681448,[4 7],0.008324432865681448,1,0.008324432865681448,False,13,17,1.030893325805664,23.990243434906006,-0.6666666666666667,0.1677081344562091,False
13,along_decision_boundary,80.69767781359086,0.13634778743841633,[5 9],0.13634778743841633,1,0.13634778743841633,84.44523301536708,0.20674639409617002,[5 9],0.20674639409617002,1,0.20674639409617002,True,14,18,1.1281054019927979,25.12433648109436,-0.34615384615384603,1.5163164579370263,True
14,along_decision_boundary,86.59404665732063,0.2592095622205455,[3 5],0.2592095622205455,1,0.2592095622205455,86.78667279447178,0.32417200733862817,[3 5],0.32417200733862817,1,0.32417200733862817,True,15,19,1.7366347312927246,26.866487503051758,-0.5714285714285714,1.250617471676489,True
15,along_decision_boundary,89.36169062007487,0.06197767555992834,[0 1],0.06197767555992834,1,0.06197767555992834,85.60823148473803,0.013844130548319225,[0 1],0.013844130548319225,1,0.013844130548319225,False,16,20,0.6926853656768799,27.56417727470398,-0.8333333333333335,0.223372858424367,False
16,along_decision_boundary,88.24445487774875,0.018764309849252172,[2 9],0.018764309849252172,1,0.018764309849252172,82.27448815204129,0.006027415435985519,[2 9],0.006027415435985519,1,0.006027415435985519,False,17,21,0.6735825538635254,28.24316716194153,-0.5,0.32121700634919614,False
17,along_decision_boundary,82.12968787643678,0.15527093514882906,[2 9],0.15527093514882906,1,0.15527093514882906,80.10593156187336,0.23751408857437367,[2 9],0.23751408857437367,1,0.23751408857437367,True,18,22,1.4485201835632324,29.69770622253418,-0.2647058823529413,1.5296751342852,True
